,address,checkins,city,country,created,icon,id,latitude,longitude,title,type,updated
0,Мячковский б-р 3а,435,1,1,1280741941,https://vk.com/images/places/clubs.png,1,55.657941,37.751574,Baila Baila,4,1487519142.0
1,Дачная 2а,14,123,1,1280741941,https://vk.com/images/places/clubs.png,2,53.202017,50.141377,Lust,4,1483478197.0
2,Лени Голикова 29,8,2,1,1280741941,https://vk.com/images/places/clubs.png,3,59.843376,30.23148,Тайфун,4,1486398333.0
3,Героев Танкограда 63,8,158,1,1280741941,https://vk.com/images/places/clubs.png,4,55.174954,61.451611,Hollywood,4,1470157376.0
4,Мусы Джалиля 14К1,38,99,1,1280741941,https://vk.com/images/places/clubs.png,5,54.860834,83.091932,Барабас,4,1488719884.0
5,Мусы Джалиля 14,6,99,1,1280741941,https://vk.com/images/places/clubs.png,6,54.861114,83.091415,Опера,4,1471622459.0
6,Труда 153,15,158,1,1280741941,https://vk.com/images/places/clubs.png,7,55.166948,61.395017,Малахит,4,1470755251.0
7,Сони Кривой 81,3,158,1,1280741941,https://vk.com/images/places/clubs.png,8,55.157006,61.365395,Полет,4,1455942973.0
8,просп. Ленина 66а,161,158,1,1280741941,https://vk.com/images/places/clubs.png,9,55.160365,61.380302,Уральские пельмени,4,1488790394.0
9,Гурьянова 31,13,1,1,1280741941,https://vk.com/images/places/clubs.png,10,55.684858,37.7183,Salvador Dali,4,1445916103.0
10,Энгельса 1К1,1,99,1,1280741941,https://vk.com/images/places/clubs.png,11,54.871906,83.106557,Четыре комнаты,4,1485185205.0
11,Железноводская 68,3,2,1,1280741941,https://vk.com/images/places/clubs.png,12,59.949213,30.234373,Занзибар,4,1464970951.0
12,ул.Красная 24,2,2,1,1280741941,https://vk.com/images/places/clubs.png,13,59.960462,30.286592,Проект,4,1424342052.0
13,Полтавская 7,3,2,1,1280741941,https://vk.com/images/places/clubs.png,14,59.92672,30.368536,La,4,1443370445.0
14,2-я Брестская 6,5,1,1,1280741941,https://vk.com/images/places/clubs.png,15,55.770968,37.591562,Моспроект,4,1444136906.0
15,2-ая Боровая 11б,4,10,1,1280741941,https://vk.com/images/places/clubs.png,16,48.721596,44.535346,Зажигалка,4,1487744022.0
16,Мира 23,2,49,1,1280741941,https://vk.com/images/places/clubs.png,17,56.840941,60.652137,Центр мира,4,1484292974.0
17,Московский проспект 20,6,99,1,1280741941,https://vk.com/images/places/clubs.png,18,55.029394,82.933293,The Past Pavilion,4,1408181395.0
